Index,Town,Black or African American Alone,White Alone,Hispanic or Latino,Asian Alone,Two or More Races,Median Age,Percent Single-Parent Families,Median Home Value
54,Glastonbury,1.65,82.7,5.25,8.65,1.25,44.65,15.745,345700.0
55,Goshen,0.4,90.35,3.95,0.7,3.5,47.55,8.83,357650.0
56,Granby,0.8,92.5,2.65,1.5,2.35,47.35,11.07,296850.0
57,Greenwich,2.7,74.85,12.1,7.45,2.4,42.8,15.52,1273850.0
58,Griswold,0.85,87.4,3.95,2.25,4.75,41.35,27.955,190000.0
59,Groton,6.25,70.05,12.5,5.4,5.25,33.5,27.395,250200.0
60,Guilford,0.9,89.4,4.4,3.55,1.75,48.25,14.835,390650.0
61,Haddam,0.8,91.6,2.85,3.75,1.0,46.3,16.005,322500.0
62,Hamden,22.9,58.25,10.6,5.15,2.6,37.1,26.175,228150.0
63,Hampton,0.35,94.4,2.35,0.3,2.25,48.3,22.985,233600.0
64,Hartford,35.0,15.15,44.45,2.55,2.15,31.6,63.175,165800.0
65,Hartland,0.5,93.0,1.2,1.15,2.2,49.6,12.355,274450.0
66,Harwinton,0.85,96.9,1.05,0.9,0.25,47.65,17.365,295800.0
67,Hebron,0.3,93.7,3.3,1.2,1.45,44.2,13.175,300850.0
68,Kent,4.45,87.75,1.6,1.9,3.65,51.75,15.175,378200.0
69,Killingly,1.3,88.75,4.8,1.75,3.25,41.85,32.245,191800.0
70,Killingworth,0.25,93.25,2.2,1.55,2.7,48.85,8.95,367000.0
71,Lebanon,0.3,93.8,3.3,1.25,1.35,46.6,18.195,261700.0
72,Ledyard,2.0,80.15,6.3,3.9,5.5,39.7,22.0,238300.0
73,Lisbon,0.15,94.6,1.1,0.95,2.1,43.7,22.7,235950.0
74,Litchfield,1.55,90.65,4.3,1.2,2.1,51.3,17.565,307700.0
75,Lyme,1.3,93.45,2.45,1.05,1.75,52.8,14.02,508150.0
76,Madison,0.3,92.75,2.05,2.65,2.2,48.6,10.605,439850.0
77,Manchester,13.3,58.1,14.6,10.1,3.15,35.6,31.75,183900.0
78,Mansfield,4.0,76.7,5.55,11.4,2.15,21.1,21.46,245650.0
79,Marlborough,1.0,92.9,4.65,0.8,0.5,44.15,12.775,300650.0
80,Meriden,9.1,57.45,29.35,1.8,2.0,40.35,36.805,175350.0
81,Middlebury,0.75,87.7,3.7,5.85,2.0,46.1,12.025,352650.0
82,Middlefield,0.05,95.65,1.95,1.85,0.4,48.45,15.645,294400.0
83,Middletown,13.05,68.4,9.95,5.3,3.25,37.5,31.355,230550.0
84,Milford,2.55,83.85,6.25,5.55,1.5,44.7,19.24,311100.0
85,Monroe,1.55,85.15,5.65,5.05,2.5,42.95,12.865,377000.0
86,Montville,5.65,75.6,8.55,5.0,3.95,43.15,24.38,204400.0
87,Morris,0.15,95.65,2.85,0.25,0.7,47.55,13.355,335450.0
88,Naugatuck,7.45,74.65,12.1,2.15,3.5,39.75,26.505,185800.0
89,New Britain,10.75,41.7,41.4,2.85,2.9,33.4,46.765,160900.0
90,New Canaan,1.15,88.05,5.15,3.65,1.7,42.65,12.955,1288700.0
91,New Fairfield,0.5,87.5,8.05,1.35,2.45,43.65,12.445,357850.0
92,New Hartford,0.35,95.45,2.0,0.85,0.75,44.75,12.4,282950.0
93,New Haven,32.15,30.2,29.45,5.1,2.35,30.5,51.38,198450.0
94,New London,14.1,46.8,31.5,2.75,4.6,31.25,48.425,186150.0
95,New Milford,1.8,86.4,6.9,2.85,1.9,43.05,18.945,297400.0
96,Newington,3.8,76.75,9.35,6.5,2.8,45.15,24.315,230900.0
97,Newtown,1.3,88.3,6.3,2.35,1.35,44.95,15.215,402150.0
98,Norfolk,0.35,90.95,2.7,1.05,4.85,51.6,18.72,316350.0
99,North Branford,1.45,92.75,3.15,1.4,1.25,47.85,17.615,294000.0
100,North Canaan,1.35,89.8,7.95,0.1,0.8,46.15,22.01,207400.0
101,North Haven,3.85,84.55,4.4,5.65,1.2,45.85,17.45,296350.0
102,North Stonington,1.55,86.05,4.8,2.55,4.45,46.75,16.215,294800.0
103,Norwalk,13.5,53.15,26.15,4.9,1.75,40.25,26.305,424450.0
104,Norwich,10.25,60.2,15.5,7.65,5.55,37.85,38.245,173600.0
105,Old Lyme,0.65,93.5,2.85,2.0,0.7,50.95,13.265,397750.0
106,Old Saybrook,0.65,91.5,3.5,2.75,1.2,52.3,15.645,387350.0
107,Orange,3.7,81.7,3.25,9.55,1.5,45.25,15.97,388000.0
108,Oxford,1.95,90.05,5.6,1.35,1.05,45.4,13.365,356600.0
109,Plainfield,2.7,89.1,3.9,1.95,2.2,41.35,24.0,181850.0
110,Plainville,2.25,84.6,8.95,3.0,1.2,42.45,29.08,206650.0
111,Plymouth,1.1,89.5,5.3,0.15,3.7,43.2,24.19,200550.0
112,Pomfret,1.05,94.3,2.65,0.8,1.0,44.75,16.32,288500.0
113,Portland,0.4,94.05,3.4,0.65,1.35,43.7,20.42,250250.0
114,Preston,1.3,85.35,1.65,5.15,5.6,46.35,20.68,254250.0
115,Prospect,4.35,88.95,3.55,0.55,2.4,46.0,16.325,295700.0
116,Putnam,0.7,91.7,3.65,0.65,3.2,43.8,39.7,188350.0
117,Redding,0.7,91.3,3.85,1.7,2.3,47.9,12.29,591950.0
118,Ridgefield,0.95,88.35,5.3,3.2,1.75,44.75,11.665,665350.0
119,Rocky Hill,4.0,71.45,6.05,15.4,1.8,43.15,20.825,265500.0
120,Roxbury,0.0,95.65,2.2,1.5,0.5,52.0,6.465,612100.0
121,Salem,2.15,89.1,4.25,2.85,0.85,39.05,16.205,288800.0
122,Salisbury,1.6,93.6,2.5,1.3,1.05,51.3,17.465,505250.0
123,Scotland,0.1,85.9,5.0,0.05,8.9,44.4,9.66,230150.0
124,Seymour,3.35,82.8,9.8,2.45,1.05,41.55,23.315,263600.0
125,Sharon,0.65,90.5,3.3,1.1,4.3,57.85,9.165,390900.0
126,Shelton,1.6,85.7,7.0,4.3,1.25,47.05,18.455,344200.0
127,Sherman,0.0,93.3,2.65,1.95,1.3,52.65,12.3,474150.0
128,Simsbury,2.7,85.6,5.65,3.55,1.75,44.4,11.135,334800.0
129,Somers,6.4,82.8,6.5,1.75,1.0,43.85,14.68,313350.0
130,South Windsor,4.05,76.7,5.4,11.75,1.8,43.15,14.33,283400.0
131,Southbury,1.65,89.0,4.5,3.15,1.55,50.55,15.065,319600.0
132,Southington,1.45,90.65,4.1,2.65,1.05,45.2,16.59,278600.0
133,Sprague,2.1,86.0,5.1,1.15,4.8,41.7,22.065,213950.0
134,Stafford,0.35,92.35,4.0,1.3,1.95,43.15,26.695,195200.0
135,Stamford,13.45,49.35,26.5,8.65,1.65,36.9,25.31,521400.0
136,Sterling,2.65,91.3,2.5,0.65,1.8,39.35,26.155,210100.0
137,Stonington,1.25,89.05,3.65,2.0,3.9,49.15,21.39,345250.0
138,Stratford,16.75,61.4,16.9,2.6,1.7,43.6,27.32,259000.0
139,Suffield,9.0,78.8,6.95,2.7,2.35,42.4,16.645,315500.0
140,Thomaston,0.45,90.75,5.7,1.6,1.45,43.3,19.445,215450.0
141,Thompson,0.15,94.8,2.6,0.5,1.75,46.0,18.55,208900.0
