Index,Town,Black or African American Alone,White Alone,Hispanic or Latino,Asian Alone,Two or More Races,Median Age,Percent Single-Parent Families,Median Home Value,Median Household Income,Gini Ratio,Percent Public School Enrollment,Percent Private School Enrollment,Percent With Private Health Insurance,Percent With Public Health Insurance,Percent Without Health Insurance,"Total Crime Index per 100,000","Total Violent Crime per 100,000","Total Property Crime per 100,000","Drug Arrests per 10,000"
59,Groton,6.25,70.05,12.5,5.4,5.25,33.5,27.395,250200.0,65493.0,0.443,89.2,10.8,75.25,33.5,4.95,1829.775,138.912,1690.85,19.67
60,Guilford,0.9,89.4,4.4,3.55,1.75,48.25,14.835,390650.0,103687.5,0.469,85.0,15.0,83.75,28.7,2.5,1356.8,59.938,1296.888,3.98
61,Haddam,0.8,91.6,2.85,3.75,1.0,46.3,16.005,322500.0,103469.5,0.392,88.95,11.05,85.65,24.35,2.9,630.475,44.788,585.712,4.663
62,Hamden,22.9,58.25,10.6,5.15,2.6,37.1,26.175,228150.0,74696.5,0.43,85.45,14.55,78.55,28.15,4.5,2502.812,380.562,2122.25,15.73
63,Hampton,0.35,94.4,2.35,0.3,2.25,48.3,22.985,233600.0,76494.5,0.386,86.2,13.8,76.65,34.25,4.45,533.962,27.0,506.938,4.664
64,Hartford,35.0,15.15,44.45,2.55,2.15,31.6,63.175,165800.0,33392.0,0.504,94.6,5.4,42.4,53.25,11.8,5030.45,1075.0,3955.45,128.76
65,Hartland,0.5,93.0,1.2,1.15,2.2,49.6,12.355,274450.0,94907.0,0.392,79.1,20.9,80.05,30.0,2.7,318.688,17.675,301.0,4.017
66,Harwinton,0.85,96.9,1.05,0.9,0.25,47.65,17.365,295800.0,101263.5,0.403,91.9,8.1,80.3,30.1,3.8,658.7,33.713,624.975,27.51
67,Hebron,0.3,93.7,3.3,1.2,1.45,44.2,13.175,300850.0,115574.5,0.363,92.4,7.6,86.55,22.6,2.6,477.312,22.05,455.275,5.207
68,Kent,4.45,87.75,1.6,1.9,3.65,51.75,15.175,378200.0,69029.0,0.476,65.55,34.45,77.65,30.65,6.7,722.9,41.538,681.363,8.656
69,Killingly,1.3,88.75,4.8,1.75,3.25,41.85,32.245,191800.0,60917.5,0.406,89.8,10.2,73.0,36.0,5.55,1046.525,105.238,941.275,25.527
70,Killingworth,0.25,93.25,2.2,1.55,2.7,48.85,8.95,367000.0,108299.5,0.394,86.2,13.8,85.45,27.55,3.4,370.95,27.638,343.325,2.86
71,Lebanon,0.3,93.8,3.3,1.25,1.35,46.6,18.195,261700.0,93398.5,0.352,88.05,11.95,76.5,30.95,6.15,593.075,27.475,565.612,2.941
72,Ledyard,2.0,80.15,6.3,3.9,5.5,39.7,22.0,238300.0,88632.0,0.366,81.55,18.45,83.6,28.95,3.9,814.412,64.388,750.025,9.031
73,Lisbon,0.15,94.6,1.1,0.95,2.1,43.7,22.7,235950.0,83920.5,0.364,95.15,4.85,86.85,25.75,2.75,2642.938,87.5,2555.438,21.794
74,Litchfield,1.55,90.65,4.3,1.2,2.1,51.3,17.565,307700.0,84801.0,0.468,83.25,16.75,74.45,38.4,5.7,888.037,30.812,857.225,18.506
75,Lyme,1.3,93.45,2.45,1.05,1.75,52.8,14.02,508150.0,94158.5,0.497,89.9,10.1,77.15,36.5,2.45,635.75,47.1,588.65,2.36
76,Madison,0.3,92.75,2.05,2.65,2.2,48.6,10.605,439850.0,113480.0,0.46,82.6,17.4,87.5,26.85,1.75,625.188,20.638,604.525,4.774
77,Manchester,13.3,58.1,14.6,10.1,3.15,35.6,31.75,183900.0,68714.0,0.42,87.5,12.5,72.65,33.5,5.3,3031.2,195.438,2835.775,37.963
78,Mansfield,4.0,76.7,5.55,11.4,2.15,21.1,21.46,245650.0,55377.5,0.519,95.4,4.6,88.8,16.0,2.8,848.375,40.7,807.65,5.8
79,Marlborough,1.0,92.9,4.65,0.8,0.5,44.15,12.775,300650.0,111122.5,0.389,84.85,15.15,85.4,24.45,1.9,632.5,39.488,593.012,7.371
80,Meriden,9.1,57.45,29.35,1.8,2.0,40.35,36.805,175350.0,56530.0,0.406,88.75,11.25,64.25,40.1,6.3,2861.937,308.375,2553.538,55.103
81,Middlebury,0.75,87.7,3.7,5.85,2.0,46.1,12.025,352650.0,109118.0,0.425,84.5,15.5,84.9,26.6,3.5,1126.575,40.463,1086.112,9.1
82,Middlefield,0.05,95.65,1.95,1.85,0.4,48.45,15.645,294400.0,90734.0,0.402,85.1,14.9,85.6,26.6,1.6,678.1,42.4,635.7,2.586
83,Middletown,13.05,68.4,9.95,5.3,3.25,37.5,31.355,230550.0,62856.5,0.454,87.0,13.0,75.45,31.35,4.05,2109.662,146.038,1963.637,39.267
84,Milford,2.55,83.85,6.25,5.55,1.5,44.7,19.24,311100.0,87937.0,0.438,83.15,16.85,81.2,27.9,3.95,2666.388,69.9,2596.462,24.797
85,Monroe,1.55,85.15,5.65,5.05,2.5,42.95,12.865,377000.0,116202.5,0.426,86.8,13.2,86.55,22.9,1.9,738.988,21.612,717.387,2.486
86,Montville,5.65,75.6,8.55,5.0,3.95,43.15,24.38,204400.0,75400.5,0.388,89.75,10.25,77.55,34.2,5.75,832.638,85.112,747.537,17.453
87,Morris,0.15,95.65,2.85,0.25,0.7,47.55,13.355,335450.0,82995.0,0.501,78.35,21.65,82.85,27.8,2.05,557.0,25.788,531.212,9.667
88,Naugatuck,7.45,74.65,12.1,2.15,3.5,39.75,26.505,185800.0,68022.5,0.439,87.35,12.65,71.6,35.35,6.1,1946.087,103.05,1843.038,24.3
89,New Britain,10.75,41.7,41.4,2.85,2.9,33.4,46.765,160900.0,43925.0,0.458,94.9,5.1,50.25,49.3,7.8,3636.813,381.2,3255.6,69.744
