Index,Town,Black or African American Alone,White Alone,Hispanic or Latino,Asian Alone,Two or More Races,Median Age,Percent Single-Parent Families,Median Home Value,Median Household Income,Gini Ratio
149,Warren,0.6,88.35,4.95,4.75,1.3,49.0,15.35,374250.0,106370.0,0.48
150,Washington,0.7,88.45,8.45,1.15,0.9,51.45,20.795,454450.0,91734.0,0.595
151,Waterbury,18.75,39.75,35.95,1.95,3.0,35.8,46.015,133600.0,43398.0,0.463
152,Waterford,2.6,85.3,5.7,3.15,2.75,47.8,21.54,252450.0,83313.0,0.415
153,Watertown,1.5,89.05,6.8,1.35,0.95,45.25,22.015,246750.0,75343.0,0.424
154,West Hartford,6.6,72.4,10.85,7.65,2.1,41.35,20.87,321800.0,95899.5,0.478
155,West Haven,18.7,50.3,23.65,3.9,2.9,35.6,36.325,198800.0,57550.5,0.433
156,Westbrook,1.05,88.95,7.0,0.65,0.8,52.6,21.855,360700.0,76167.0,0.523
157,Weston,1.75,83.95,5.75,4.15,4.25,45.7,10.625,853100.0,212517.0,0.464
158,Westport,0.9,85.45,5.3,5.4,2.6,45.8,12.21,1078900.0,192641.0,0.526
159,Wethersfield,3.95,80.55,9.55,3.5,2.0,44.6,21.08,253250.0,84038.0,0.43
160,Willington,0.75,84.3,5.75,4.9,4.35,35.2,19.08,236150.0,73395.0,0.438
161,Wilton,0.85,84.25,3.15,7.75,3.85,43.05,9.66,797950.0,188284.0,0.466
162,Winchester,1.4,86.2,7.85,2.45,1.15,48.5,19.49,186150.0,58319.5,0.43
163,Windham,4.7,52.05,39.05,1.8,2.15,31.35,48.57,159200.0,42153.5,0.429
164,Windsor,36.5,46.25,9.45,4.3,3.2,43.4,26.44,223300.0,87030.5,0.382
165,Windsor Locks,4.9,79.35,4.7,7.7,3.1,42.9,25.17,195500.0,70517.0,0.416
166,Wolcott,2.25,88.25,6.7,1.55,1.2,45.45,20.47,244500.0,88168.5,0.377
167,Woodbridge,2.35,76.9,4.05,14.65,1.95,48.0,12.55,473450.0,151283.5,0.433
168,Woodbury,0.4,90.65,5.1,2.9,0.7,51.3,14.72,358800.0,90600.0,0.468
169,Woodstock,0.0,94.2,4.3,0.3,1.25,45.95,14.065,270900.0,85379.5,0.404
